,player_name,pro_id,cbb_id,made_asg
736,Nemanja Nedović,nedovne01,,0.0
737,Allen Crabbe,crabbal01,allen-crabbe-1,0.0
738,Álex Abrines,abrinal01,,0.0
739,Carrick Felix,felixca01,carrick-felix-1,0.0
740,Isaiah Canaan,canaais01,isaiah-canaan-1,0.0
741,Glen Rice,ricegl02,glen-rice-jr-1,1.0
742,Ray McCallum,mccalra01,ray-mccallum-2,0.0
743,Tony Mitchell,mitchto02,tony-mitchell-4,0.0
744,Nate Wolters,woltena01,nate-wolters-1,0.0
745,Jeff Withey,witheje01,jeff-withey-1,0.0
746,Grant Jerrett,jerregr01,grant-jerrett-1,0.0
747,Jamaal Franklin,frankja01,jamaal-franklin-1,0.0
748,Pierre Jackson,jackspi01,pierre-jackson-1,0.0
749,Ricky Ledo,ledori01,,0.0
750,Mike Muscala,muscami01,mike-muscala-1,0.0
751,Marko Todorović,todorma01,,0.0
752,Erick Green,greener01,erick-green-1,0.0
753,Raul Neto,netora01,,0.0
754,Ryan Kelly,kellyry01,ryan-kelly-3,0.0
755,Erik Murphy,murpher01,erik-murphy-1,0.0
756,James Ennis,ennisja01,james-ennis-1,0.0
757,Lorenzo Brown,brownlo01,lorenzo-brown-1,0.0
758,Colton Iverson,iversco01,colton-iverson-1,0.0
759,Arsalan Kazemi,kazemar01,arsalan-kazemi-1,0.0
760,Joffrey Lauvergne,lauvejo01,,0.0
761,Peyton Siva,sivape01,peyton-siva-1,0.0
762,Alex Oriakhi,oriakal01,alex-oriakhi-1,0.0
763,Deshaun Thomas,thomade01,deshaun-thomas-1,0.0
764,Bojan Dubljević,dubljbo01,,0.0
765,Jānis Timma,timmaja01,,0.0
766,Andrew Wiggins,wiggian01,andrew-wiggins-1,0.0
767,Jabari Parker,parkeja01,jabari-parker-1,0.0
768,Joel Embiid,embiijo01,joel-embiid-1,1.0
769,Aaron Gordon,gordoaa01,aaron-gordon-1,0.0
770,Dante Exum,exumda01,,0.0
771,Marcus Smart,smartma01,marcus-smart-1,0.0
772,Julius Randle,randlju01,julius-randle-1,0.0
