year,player,affiliation,overall_pick,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan,assists,blocks,box_plus_minus,conference,defensive_rebounds,field_goal_attempts,field_goals,free_throw_attempt,free_throws,minutes_played,offensive_rebounds,personal_fouls,points,steals,three_point_attempts,three_pointers,total_rebounds,turnovers,two_point_attempts,two_pointers,player_id,classification
2013,Alex Len,Maryland,5,C,11.96,3.1,3.42,27.58,31.48,10.79,6.4,9.0,10.75,82.59,83.73,110.57,247.02,87.5,37,78,8.0,acc,189.0,324,173,153,105,1004.0,109.0,101.0,452,8,8,1,298,60.0,316,172,alex-len-1,Role Player
2006,Alexander Johnson,Florida State,45,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,21,30,,acc,142.0,235,127,170,120,723.0,74.0,93.0,383,31,29,9,216,82.0,206,118,alexander-johnson-1,Exclude
2018,Alize Johnson,Missouri State,50,F,11.83,3.28,3.38,25.0,31.0,8.0,8.1,8.5,9.75,79.25,80.0,103.0,216.6,80.75,94,14,5.4,mvc,280.0,400,172,145,110,1028.0,104.0,69.0,495,15,146,41,384,74.0,254,131,alize-johnson-1,Exclude
2013,Allen Crabbe,California,31,G,10.67,3.1,3.32,30.5,36.0,10.0,4.65,8.25,8.5,77.25,78.25,103.5,197.4,83.25,87,23,8.3,pac-12,167.0,468,215,139,113,1195.0,33.0,69.0,607,37,184,64,200,83.0,284,151,allen-crabbe-1,Role Player
2001,Alton Ford,Houston,50,F,11.7,3.1,3.16,34.5,36.5,21.0,8.0,8.95,9.59,80.25,80.81,102.5,271.0,82.5,17,19,,cusa,112.0,220,95,133,81,663.0,42.0,97.0,280,5,34,9,154,66.0,186,86,alton-ford-1,Exclude
2001,Alvin Jones,Georgia Tech,56,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,46,101,,acc,239.0,278,134,223,133,875.0,73.0,96.0,401,28,2,0,312,90.0,276,134,alvin-jones-1,Exclude
2012,Andre Drummond,Connecticut,9,C,10.83,3.1,3.39,31.5,33.5,10.0,7.5,9.5,9.5,81.75,83.75,109.5,278.6,90.25,15,92,6.0,big-east,143.0,292,157,88,26,967.0,114.0,75.0,340,28,2,0,257,52.0,290,157,andre-drummond-1,Starter
2004,Andre Emmett,Texas Tech,35,G,11.11,3.04,3.22,30.1,36.1,8.78,6.7,8.46,9.1,75.5,76.5,100.0,216.0,81.0,62,10,,big-12,156.0,494,260,226,165,1259.0,69.0,49.0,701,44,45,16,225,70.0,449,244,andre-emmett-1,Exclude
2004,Andre Iguodala,Arizona,9,G,11.17,3.04,3.18,30.5,34.5,4.0,6.7,8.46,9.1,77.75,78.75,105.5,217.0,83.0,147,11,,pac-10,181.0,302,136,118,93,962.0,72.0,75.0,388,48,73,23,253,83.0,229,113,andre-iguodala-1,Starter
2013,Andre Roberson,Colorado,26,F,11.36,3.02,3.34,30.0,36.5,10.0,7.05,8.75,9.5,78.25,79.0,104.5,205.8,83.0,44,41,9.8,pac-12,255.0,275,132,98,54,1036.0,92.0,77.0,337,67,58,19,347,74.0,217,113,andre-roberson-1,Starter
2005,Andrew Bogut,Utah,1,C,12.06,3.1,3.51,27.5,33.5,13.0,8.73,9.12,9.86,83.0,84.25,110.5,250.6,87.0,82,65,,mwc,297.0,453,281,208,144,1224.0,130.0,78.0,715,34,25,9,427,96.0,428,272,andrew-bogut-1,Starter
2011,Andrew Goudelock,College of Charleston,46,G,10.33,3.04,3.1,32.5,37.0,4.0,9.9,8.25,9.25,73.25,74.75,96.5,197.6,76.25,157,7,4.0,southern,118.0,699,318,134,110,1302.0,25.0,66.0,877,33,322,131,143,119.0,377,187,andrew-goudelock-1,Exclude
2015,Andrew Harrison,Kentucky,44,G,11.2,3.04,3.34,26.5,33.0,8.78,5.9,8.25,9.25,76.5,77.5,100.0,213.2,81.0,139,8,9.0,sec,74.0,267,101,159,126,994.0,13.0,70.0,364,40,94,36,87,64.0,173,65,andrew-harrison-1,Exclude
2012,Andrew Nicholson,St. Bonaventure,19,F,11.89,3.1,3.67,28.5,30.5,10.0,7.6,10.0,10.75,80.5,81.5,107.0,234.0,88.0,33,63,8.6,atlantic-10,186.0,385,220,165,128,962.0,83.0,90.0,591,21,53,23,269,80.0,332,197,andrew-nicholson-1,Bust
2014,Andrew Wiggins,Kansas,1,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,54,34,8.5,big-12,129.0,422,189,227,176,1148.0,76.0,94.0,597,41,126,43,205,80.0,296,146,andrew-wiggins-1,Role Player
