year,player,affiliation,overall_pick,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan,assists,blocks,box_plus_minus,conference,defensive_rebounds,field_goal_attempts,field_goals,free_throw_attempt,free_throws,minutes_played,offensive_rebounds,personal_fouls,points,steals,three_point_attempts,three_pointers,total_rebounds,turnovers,two_point_attempts,two_pointers,player_id,classification
2011,Charles Jenkins,Hofstra,44,G,11.68,3.04,3.18,29.5,34.0,16.0,4.3,8.5,9.0,73.5,75.25,96.5,216.4,79.5,158,22,8.9,colonial,93.0,482,249,221,182,1232.0,18.0,66.0,746,57,157,66,111,73.0,325,183,charles-jenkins-1,Exclude
2005,Charlie Villanueva,Connecticut,7,F,10.86,3.1,3.3,26.0,31.0,11.0,7.79,8.95,9.59,81.0,81.5,109.0,236.6,84.25,40,57,,big-east,175.0,305,159,141,97,798.0,82.0,68.0,421,20,12,6,257,70.0,293,153,charlie-villanueva-1,Role Player
2009,Chase Budinger,Arizona,44,F,11.08,3.1,3.24,29.5,38.5,10.0,10.0,8.95,9.59,78.25,79.0,101.0,206.4,79.0,118,16,,pac-10,168.0,456,219,156,125,1317.0,49.0,65.0,630,50,168,67,217,85.0,288,152,chase-budinger-1,Starter
2016,Cheick Diallo,Kansas,33,F,11.24,3.3,3.26,31.0,35.0,11.36,5.6,8.5,9.75,79.5,81.0,107.5,218.6,88.5,1,23,4.2,big-12,51.0,58,33,27,15,202.0,17.0,38.0,81,7,0,0,68,17.0,58,33,cheick-diallo-1,Role Player
2018,Chimezie Metu,Southern California,49,F,11.89,3.25,3.33,29.5,36.0,5.0,5.05,9.0,9.25,80.5,81.5,108.0,219.6,84.5,53,59,6.1,pac-12,189.0,392,205,152,111,1053.0,64.0,87.0,533,27,40,12,253,68.0,352,193,chimezie-metu-1,Exclude
2016,Chinanu Onuaku,Louisville,37,C,11.65,3.0,3.5,27.5,33.5,10.79,8.55,9.0,8.0,81.0,82.0,108.5,245.2,86.75,51,62,13.9,acc,172.0,221,137,56,33,762.0,91.0,92.0,307,24,1,0,263,65.0,220,137,chinanu-onuaku-1,Exclude
2003,Chris Bosh,Georgia Tech,4,F,11.8,3.1,3.3,30.5,33.0,9.0,8.0,8.95,9.59,82.25,80.81,109.0,225.0,87.5,38,67,,acc,183.0,300,168,174,127,960.0,95.0,73.0,485,30,46,22,278,72.0,254,146,chris-bosh-1,Starter
2008,Chris Douglas-Roberts,Memphis,40,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,71,18,,cusa,112.0,479,259,226,161,1147.0,53.0,68.0,724,49,109,45,165,83.0,370,214,chris-douglas-roberts-1,Role Player
2004,Chris Duhon,Duke,38,G,10.45,3.04,3.14,31.5,35.0,7.0,6.7,8.46,9.1,72.0,73.25,98.0,193.0,78.5,225,7,,acc,120.0,308,138,90,65,1311.0,30.0,76.0,370,80,96,29,150,104.0,212,109,chris-duhon-1,Starter
2002,Chris Jefferies,Fresno State,27,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,64,25,,wac,108.0,275,115,145,92,726.0,25.0,58.0,364,25,121,42,133,51.0,154,73,chris-jefferies-1,Exclude
2003,Chris Kaman,Central Michigan,6,C,11.33,3.1,3.37,23.5,30.5,15.0,16.3,9.12,9.86,83.5,83.73,110.5,252.0,83.75,37,98,,mac,261.0,392,244,275,206,1055.0,112.0,99.0,694,19,0,0,373,137.0,392,244,chris-kaman-1,Role Player
2015,Chris McCullough,Syracuse,29,F,11.46,3.1,3.3,29.41,34.23,11.36,6.2,8.75,8.75,80.25,81.0,109.0,199.0,87.25,18,33,6.8,acc,74.0,113,54,71,40,450.0,36.0,41.0,149,27,1,1,110,35.0,112,53,chris-mccullough-1,Exclude
2000,Chris Mihm,Texas,7,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,22,90,,big-12,,394,206,232,164,1014.0,,90.0,583,11,15,7,346,81.0,379,199,chris-mihm-1,Bust
2002,Chris Owens,Texas,47,F,11.46,3.1,3.3,29.41,34.23,10.0,7.79,8.95,9.59,79.0,80.81,104.0,237.0,83.5,9,21,,big-12,49.0,124,62,75,47,299.0,32.0,27.0,174,8,10,3,81,19.0,114,59,chris-owens-1,Exclude
2005,Chris Paul,Wake Forest,4,G,11.09,3.04,3.22,32.0,38.0,10.0,6.39,8.46,9.1,71.75,73.0,93.0,178.0,76.25,212,1,,acc,122.0,317,143,187,156,1069.0,22.0,82.0,488,76,97,46,144,89.0,220,97,chris-paul-1,All-Star
2000,Chris Porter,Auburn,55,F,10.93,3.1,3.2,28.5,35.0,6.0,7.79,8.95,9.59,77.5,80.81,103.5,214.0,81.5,30,9,,sec,,304,141,139,94,755.0,,70.0,380,52,17,4,191,54.0,287,137,chris-porter-1,Exclude
2007,Chris Richard,Florida,41,F,11.39,3.1,3.29,26.5,30.5,15.0,7.5,8.95,9.59,79.0,80.75,110.5,252.0,88.5,17,12,,sec,84.0,142,98,83,52,735.0,63.0,92.0,248,13,0,0,147,47.0,142,98,chris-richard-1,Exclude
2011,Chris Singleton,Florida State,18,F,11.33,3.1,3.09,30.5,37.5,15.0,7.4,9.25,10.0,79.75,81.0,103.5,230.2,85.0,33,41,9.5,acc,133.0,286,124,126,84,814.0,58.0,90.0,367,55,95,35,191,61.0,191,89,chris-singleton-1,Exclude
2005,Chris Taft,Pittsburgh,42,F,11.26,3.1,3.27,28.5,33.0,14.0,7.79,8.95,9.59,80.5,81.5,109.0,261.0,85.75,24,50,,big-east,130.0,274,159,116,68,769.0,88.0,48.0,386,11,0,0,218,47.0,274,159,chris-taft-1,Exclude
2002,Chris Wilcox,Maryland,8,F,11.43,3.1,3.16,31.0,34.5,20.0,7.79,8.95,9.59,80.25,80.81,107.5,218.0,85.0,53,53,,acc,160.0,343,173,147,86,866.0,97.0,97.0,432,28,2,0,257,53.0,341,173,chris-wilcox-1,Role Player
2014,Cleanthony Early,Wichita State,34,F,11.15,2.96,3.18,34.0,40.0,11.36,4.45,8.5,9.0,78.0,79.25,101.5,209.4,82.75,27,28,7.1,mvc,165.0,386,187,179,151,986.0,48.0,83.0,591,29,177,66,213,70.0,209,121,cleanthony-early-1,Exclude
2013,Cody Zeller,Indiana,4,C,10.82,2.69,3.15,35.5,37.5,17.0,4.75,8.5,10.5,82.75,84.25,106.0,230.0,82.75,47,45,11.3,big-ten,188.0,353,199,259,196,1062.0,101.0,80.0,594,37,2,0,289,81.0,351,199,cody-zeller-1,Starter
2010,Cole Aldrich,Kansas,11,C,11.48,3.1,3.35,23.0,28.0,10.0,8.5,9.0,9.25,81.0,83.25,111.5,236.0,88.75,31,125,,big-12,244.0,265,149,159,108,963.0,110.0,92.0,406,27,0,0,354,56.0,265,149,cole-aldrich-1,Exclude
2018,Collin Sexton,Alabama,8,G,11.11,3.04,3.22,30.1,36.1,8.78,5.6,8.25,8.5,72.5,73.5,98.5,183.0,79.25,119,3,6.5,sec,90.0,438,196,252,196,987.0,34.0,81.0,632,28,131,44,124,92.0,307,152,collin-sexton-1,Exclude
2007,Corey Brewer,Florida,7,F,11.69,3.1,3.22,30.5,36.5,11.0,4.2,8.95,9.59,78.0,79.75,103.0,185.0,80.25,109,15,,sec,133.0,356,169,155,112,1053.0,40.0,72.0,490,69,119,40,173,93.0,237,129,corey-brewer-1,Role Player
2002,Corsley Edwards,Central Connecticut State,57,F,12.18,3.1,3.31,28.5,33.0,12.0,7.79,8.95,9.59,79.25,80.81,106.5,285.0,82.75,33,48,,northeast,150.0,353,178,180,137,992.0,128.0,77.0,493,44,0,0,278,71.0,353,178,corsley-edwards-1,Exclude
2014,Cory Jefferson,Baylor,60,F,12.63,3.39,3.36,33.0,37.5,11.36,5.25,8.75,9.75,79.75,81.0,105.0,218.4,84.5,37,49,6.0,big-12,205.0,368,184,214,137,1103.0,107.0,83.0,519,15,38,14,312,51.0,330,170,cory-jefferson-1,Exclude
2011,Cory Joseph,Texas,29,G,10.75,3.04,3.27,27.5,35.0,5.0,9.7,8.5,10.5,74.0,75.25,99.0,186.2,77.5,109,11,7.7,big-12,105.0,322,136,73,51,1166.0,23.0,65.0,375,37,126,52,128,54.0,196,84,cory-joseph-1,Starter
2000,Courtney Alexander,Fresno State,13,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,94,4,,wac,,564,252,137,107,974.0,,61.0,669,37,175,58,128,67.0,389,194,courtney-alexander-1,Bust
2008,Courtney Lee,Western Kentucky,22,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,75,28,,sun-belt,127.0,543,259,180,148,1079.0,48.0,87.0,735,65,174,69,175,84.0,369,190,courtney-lee-1,Role Player
2010,Craig Brackins,Iowa State,21,F,11.65,3.1,3.39,26.0,35.0,6.0,7.9,9.5,11.25,80.5,81.75,109.0,229.0,84.0,69,38,,big-12,206.0,457,192,154,117,1124.0,67.0,64.0,528,25,87,27,273,68.0,370,165,craig-brackins-1,Exclude
2006,Craig Smith,Boston College,36,F,11.59,3.1,3.4,30.0,29.5,11.36,12.2,8.95,9.59,77.5,78.5,103.5,259.0,81.5,109,29,,acc,227.0,424,243,227,146,1305.0,112.0,107.0,633,44,12,1,339,89.0,412,242,craig-smith-1,Role Player
2002,Curtis Borchardt,Stanford,18,C,12.56,3.1,3.63,24.0,27.0,7.0,8.73,9.12,9.86,82.75,83.73,112.0,238.0,86.5,59,83,,pac-10,223.0,297,171,206,138,896.0,109.0,82.0,491,17,27,11,332,57.0,270,160,curtis-borchardt-1,Exclude
2015,D'Angelo Russell,Ohio State,2,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,175,11,11.7,big-ten,163.0,515,231,156,118,1188.0,35.0,74.0,675,55,231,95,198,102.0,284,136,dangelo-russell-1,Starter
2008,D.J. Augustin,Texas,9,G,11.27,3.04,3.07,28.5,35.0,2.0,8.1,8.46,9.1,70.0,71.5,94.5,171.5,75.5,219,0,,big-12,92.0,551,242,221,173,1417.0,20.0,61.0,731,47,194,74,112,105.0,357,168,dj-augustin-1,Role Player
2017,D.J. Wilson,Michigan,17,F,11.46,3.1,3.3,29.41,34.23,11.36,6.4,9.25,10.25,80.75,82.5,109.5,234.4,87.0,50,57,9.4,big-ten,146.0,305,164,60,50,1155.0,57.0,72.0,419,20,110,41,203,42.0,195,123,dj-wilson-1,Exclude
2009,DaJuan Summers,Georgetown,35,F,10.94,3.1,3.17,29.5,34.5,15.0,6.6,8.95,9.59,79.25,80.5,106.5,243.0,84.75,39,21,,big-east,92.0,289,137,136,97,910.0,36.0,81.0,423,35,135,52,128,81.0,154,85,dajuan-summers-1,Exclude
2007,Daequan Cook,Ohio State,21,G,11.12,3.04,3.22,30.0,34.5,4.0,7.0,8.46,9.1,75.0,77.75,101.5,203.0,80.25,40,10,,big-ten,139.0,317,141,66,46,770.0,28.0,66.0,382,28,130,54,167,56.0,187,87,daequan-cook-1,Role Player
2003,Dahntay Jones,Duke,20,G,10.91,3.04,3.11,30.0,39.5,8.78,2.6,8.46,9.1,76.75,76.12,102.5,214.0,81.0,29,18,,acc,134.0,421,198,187,140,1014.0,46.0,101.0,583,38,118,47,180,63.0,303,151,dahntay-jones-1,Bust
2002,Dajuan Wagner,Memphis,6,G,12.03,3.04,3.22,28.0,35.0,16.0,6.39,8.46,9.1,72.75,76.12,99.0,193.0,74.0,128,20,,cusa,71.0,647,265,230,166,1146.0,18.0,101.0,762,43,208,66,89,105.0,439,199,dajuan-wagner-1,Exclude
2015,Dakari Johnson,Kentucky,48,C,11.76,2.94,3.62,22.5,25.0,4.0,14.9,9.25,10.5,83.0,83.75,112.0,264.6,86.0,29,36,10.2,sec,112.0,156,79,144,90,635.0,67.0,69.0,248,14,0,0,179,42.0,156,79,dakari-johnson-1,Exclude
2016,Damian Jones,Vanderbilt,30,C,11.35,3.12,3.2,36.0,37.0,10.79,6.55,8.75,10.5,82.25,83.5,107.0,243.6,87.75,38,54,6.7,sec,153.0,312,184,168,90,866.0,74.0,108.0,458,8,3,0,227,65.0,309,184,damian-jones-1,Exclude
2012,Damian Lillard,Weber State,6,G,11.15,3.04,3.34,34.5,39.5,13.0,5.9,8.75,9.75,73.75,74.75,95.5,188.8,79.75,128,7,8.8,big-sky,144.0,495,231,257,228,1105.0,17.0,62.0,784,47,230,94,161,74.0,265,137,damian-lillard-1,All-Star
2010,Damion James,Texas,24,F,10.89,3.1,3.2,29.0,33.0,13.0,9.6,9.25,8.5,78.25,79.75,107.0,226.6,84.75,33,40,,big-12,243.0,419,210,230,155,1029.0,107.0,100.0,611,57,94,36,350,69.0,325,174,damion-james-1,Exclude
2001,Damone Brown,Syracuse,36,F,11.81,3.1,3.27,32.0,37.0,6.0,6.7,8.95,9.59,80.25,80.81,104.5,202.0,83.75,56,48,,big-east,191.0,437,215,158,125,1242.0,109.0,92.0,559,58,14,4,300,69.0,423,211,damone-brown-1,Exclude
2017,Damyean Dotson,Houston,44,G,11.18,3.03,3.13,31.5,38.0,13.0,5.3,8.5,9.25,76.5,77.5,100.0,205.2,81.0,36,5,7.9,aac,173.0,430,202,53,44,1098.0,49.0,53.0,556,29,244,108,222,33.0,186,94,damyean-dotson-1,Exclude
2002,Dan Dickau,Gonzaga,28,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,149,4,,wcc,80.0,442,195,191,165,1110.0,15.0,61.0,672,26,256,117,95,92.0,186,78,dan-dickau-1,Exclude
2002,Dan Gadzuric,California-Los Angeles,33,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,23,42,,pac-10,163.0,296,164,123,58,865.0,92.0,89.0,386,18,1,0,255,52.0,295,164,dan-gadzuric-1,Role Player
2000,Dan Langhi,Vanderbilt,31,F,10.85,3.1,3.24,31.0,34.5,12.0,7.79,8.95,9.59,81.0,80.81,104.0,197.5,80.0,23,9,,sec,,465,222,186,162,1033.0,,56.0,664,13,144,58,181,53.0,321,164,dan-langhi-1,Exclude
2000,Dan McClintock,Northern Arizona,53,C,11.52,3.1,3.33,33.0,35.0,20.0,8.73,9.12,9.86,83.0,83.73,107.0,250.0,85.5,36,70,,big-sky,,318,190,151,103,754.0,,88.0,483,11,0,0,202,57.0,318,190,dan-mcclintock-1,Exclude
2005,Daniel Ewing,Duke,32,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,132,13,,acc,81.0,424,181,107,74,1138.0,23.0,99.0,505,65,199,69,104,98.0,225,112,daniel-ewing-1,Exclude
2006,Daniel Gibson,Texas,42,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,116,12,,big-12,91.0,402,163,95,69,1228.0,42.0,88.0,496,49,266,101,133,70.0,136,62,daniel-gibson-1,Role Player
2016,Daniel Hamilton,Connecticut,56,G,11.48,3.2,3.4,26.0,29.0,8.78,5.95,9.0,8.5,78.25,80.0,103.5,197.0,81.0,170,15,8.1,aac,288.0,411,159,100,86,1147.0,33.0,66.0,451,38,142,47,321,85.0,269,112,daniel-hamilton-1,Exclude
2010,Daniel Orton,Kentucky,29,C,12.32,3.1,3.39,24.0,30.5,13.0,13.8,8.5,9.75,80.75,81.5,110.5,269.2,88.25,15,53,,sec,81.0,91,48,63,33,502.0,45.0,88.0,129,21,2,0,126,38.0,89,48,daniel-orton-1,Exclude
2009,Danny Green,North Carolina,46,G,11.3,3.04,3.3,29.0,33.0,15.0,5.6,8.46,9.1,77.25,78.5,103.0,208.0,82.0,104,51,,acc,108.0,391,184,61,52,1040.0,70.0,84.0,497,67,184,77,178,63.0,207,107,danny-green-1,Starter
2009,Dante Cunningham,Villanova,33,F,11.18,3.1,3.26,28.0,35.0,18.0,4.8,8.95,9.59,79.0,80.25,106.5,227.4,83.0,47,47,,big-east,185.0,465,244,178,124,1199.0,99.0,103.0,612,47,2,0,284,82.0,463,244,dante-cunningham-1,Role Player
2010,Darington Hobson,New Mexico,37,G,11.68,3.04,3.25,29.0,34.0,8.78,6.2,8.25,9.0,77.25,78.5,104.5,203.6,81.25,160,15,,mwc,250.0,439,193,199,130,1175.0,74.0,68.0,555,44,108,39,324,104.0,331,154,darington-hobson-1,Exclude
2012,Darius Johnson-Odom,Marquette,55,G,10.76,3.04,3.21,33.5,41.5,17.0,7.0,8.75,8.75,73.5,75.0,96.0,212.0,79.0,93,4,5.9,big-east,97.0,470,210,165,126,1120.0,22.0,68.0,623,32,200,77,119,80.0,270,133,darius-johnson-odom-1,Exclude
2012,Darius Miller,Kentucky,46,F,11.34,3.1,3.31,33.0,37.0,14.0,7.5,8.5,8.75,78.0,79.5,101.0,233.4,81.0,82,13,8.1,sec,74.0,302,143,69,55,1043.0,36.0,87.0,397,33,149,56,110,58.0,153,87,darius-miller-1,Role Player
2011,Darius Morris,Michigan,41,G,11.0,3.04,3.2,24.5,32.0,12.0,5.3,8.75,10.0,75.25,77.25,102.0,190.0,79.5,235,1,7.4,big-ten,108.0,411,201,151,108,1219.0,31.0,74.0,526,36,64,16,139,103.0,347,185,darius-morris-1,Exclude
2002,Darius Songaila,Wake Forest,49,F,11.69,3.1,3.52,24.5,29.5,8.0,7.79,8.95,9.59,80.0,80.81,108.5,240.0,85.0,89,27,,acc,200.0,390,204,226,193,1036.0,76.0,104.0,607,45,16,6,276,119.0,374,198,darius-songaila-1,Role Player
2008,Darnell Jackson,Kansas,52,F,11.75,3.1,3.26,27.0,31.0,11.0,12.5,8.95,9.59,79.0,79.75,106.5,240.5,83.25,43,19,,big-12,186.0,273,171,149,103,971.0,81.0,90.0,447,31,6,2,267,51.0,267,169,darnell-jackson-1,Exclude
2008,Darrell Arthur,Kansas,27,F,12.18,3.1,3.14,28.5,30.0,12.0,7.3,8.95,9.59,79.5,80.5,107.0,216.0,82.75,33,53,,big-12,158.0,394,214,114,80,989.0,92.0,118.0,510,20,12,2,250,75.0,382,212,darrell-arthur-1,Role Player
2009,Darren Collison,California-Los Angeles,21,G,10.45,3.04,3.1,30.5,33.5,9.0,5.7,8.46,9.1,72.25,73.5,96.5,166.2,75.0,166,5,,pac-10,68.0,344,175,126,113,1103.0,16.0,53.0,504,57,104,41,84,87.0,240,134,darren-collison-1,Starter
2015,Darrun Hilliard,Villanova,38,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,74,12,10.2,big-east,93.0,386,170,103,82,1007.0,16.0,78.0,501,63,204,79,109,42.0,182,91,darrun-hilliard-1,Exclude
2004,David Harrison,Colorado,29,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,25,85,,big-12,146.0,295,186,232,125,916.0,108.0,94.0,497,17,1,0,254,78.0,294,186,david-harrison-1,Bust
2005,David Lee,Florida,30,F,10.8,3.1,3.19,30.5,32.5,14.0,7.79,8.95,9.59,79.75,81.0,106.5,229.5,84.0,70,24,,sec,210.0,305,160,161,115,897.0,78.0,76.0,435,34,4,0,288,85.0,301,160,david-lee-1,Starter
2006,David Noel,North Carolina,39,F,10.54,3.1,3.07,34.5,38.5,20.0,6.1,8.95,9.59,76.5,78.0,100.0,223.0,81.5,107,23,,acc,135.0,297,158,72,45,1045.0,76.0,84.0,400,34,92,39,211,95.0,205,119,david-noel-1,Exclude
2003,David West,Xavier,18,F,12.18,3.1,3.43,28.5,31.5,11.0,8.0,8.95,9.59,80.25,80.81,108.25,226.0,88.25,102,52,,atlantic-10,278.0,415,213,256,209,1168.0,100.0,95.0,644,42,26,9,378,85.0,389,204,david-west-1,Starter
2017,Davon Reed,Miami (FL),32,G,11.37,3.21,3.34,28.5,36.0,12.0,6.5,9.25,9.5,76.5,77.5,102.0,206.2,84.0,79,16,8.5,acc,130.0,372,161,108,90,1165.0,28.0,52.0,491,43,199,79,158,67.0,173,82,davon-reed-1,Exclude
2017,De'Aaron Fox,Kentucky,5,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,165,7,8.7,sec,122.0,447,214,212,156,1064.0,21.0,90.0,601,53,69,17,143,87.0,378,197,deaaron-fox-1,Exclude
2018,De'Anthony Melton,Southern California,46,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,125,37,8.3,,120.0,231,101,109,77,972.0,50.0,81.0,300,69,74,21,170,64.0,157,80,deanthony-melton-1,Exclude
2008,DeAndre Jordan,Texas A&M,35,C,12.3,3.1,3.27,26.0,30.5,8.0,7.5,9.12,9.86,81.75,83.0,113.5,250.0,90.0,15,44,,big-12,144.0,183,113,119,52,703.0,66.0,67.0,278,7,0,0,210,57.0,183,113,deandre-jordan-1,Role Player
2011,DeAndre Liggins,Kentucky,53,F,11.46,3.1,3.33,27.0,31.0,6.0,5.0,8.75,10.0,77.0,78.25,103.5,202.2,83.0,96,28,7.2,sec,131.0,264,112,105,68,1201.0,22.0,94.0,328,46,92,36,153,55.0,172,76,deandre-liggins-1,Exclude
2016,DeAndre' Bembry,Saint Joseph's,21,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,161,30,9.1,atlantic-10,228.0,497,238,178,117,1341.0,51.0,88.0,627,51,128,34,279,73.0,369,204,deandre-bembry-1,Exclude
2009,DeJuan Blair,Pittsburgh,37,F,11.5,3.1,3.45,26.0,33.0,18.0,12.0,8.95,9.59,77.25,78.5,106.5,276.6,86.0,42,34,,big-east,237.0,381,226,162,98,955.0,195.0,95.0,550,54,0,0,432,44.0,381,226,dejuan-blair-1,Role Player
2009,DeMar DeRozan,Southern California,9,G,11.88,3.04,3.31,29.0,38.5,5.0,4.9,8.46,9.1,77.5,78.5,102.5,211.2,81.0,51,13,,pac-10,117.0,367,192,147,95,1168.0,84.0,73.0,485,31,36,6,201,73.0,331,186,demar-derozan-1,Role Player
2010,DeMarcus Cousins,Kentucky,5,C,11.4,3.1,3.55,23.5,27.5,10.79,16.4,9.25,10.0,81.5,82.75,113.0,291.8,89.75,38,67,,sec,220.0,369,206,268,162,893.0,154.0,122.0,575,37,6,1,374,78.0,363,205,demarcus-cousins-1,Starter
2009,DeMarre Carroll,Missouri,27,F,11.46,3.1,3.3,29.41,34.23,11.36,6.3,8.95,9.59,78.25,79.75,105.0,207.2,82.0,82,25,,big-12,181.0,441,246,191,121,1064.0,92.0,84.0,629,59,44,16,273,56.0,397,230,demarre-carroll-1,Exclude
2018,Deandre Ayton,Arizona,1,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,57,66,10.9,pac-12,287.0,451,276,191,140,1172.0,118.0,81.0,704,20,35,12,405,69.0,416,264,deandre-ayton-1,Exclude
2016,Dejounte Murray,Washington,29,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,151,10,4.3,pac-12,155.0,486,202,166,110,1139.0,48.0,90.0,548,62,118,34,203,110.0,368,168,dejounte-murray-1,Exclude
2015,Delon Wright,Utah,20,G,11.16,3.5,3.29,29.5,31.0,4.0,6.6,8.0,8.5,76.25,77.5,101.5,181.4,79.5,178,34,16.2,pac-12,139.0,324,165,183,153,1165.0,34.0,49.0,509,73,73,26,173,68.0,251,139,delon-wright-1,Starter
2004,Delonte West,Saint Joseph's,24,G,11.2,3.04,3.15,30.0,35.0,12.0,6.7,8.46,9.1,73.5,74.75,99.5,183.0,78.0,151,6,,atlantic-10,134.0,416,212,139,124,1073.0,38.0,60.0,604,55,136,56,172,82.0,280,156,delonte-west-1,Starter
2007,Demetris Nichols,Syracuse,53,F,10.39,3.1,3.38,28.5,32.5,16.0,6.2,8.95,9.59,78.0,79.5,105.0,211.0,84.25,54,37,,big-east,140.0,503,225,133,113,1217.0,50.0,73.0,663,49,240,100,190,77.0,263,125,demetris-nichols-1,Exclude
2016,Demetrius Jackson,Notre Dame,45,G,10.81,2.87,3.25,37.5,43.5,8.78,6.5,8.25,9.0,72.0,73.25,93.0,193.8,77.5,164,10,6.7,acc,90.0,428,193,139,113,1259.0,31.0,68.0,553,43,163,54,121,76.0,265,139,demetrius-jackson-2,Exclude
2017,Dennis Smith Jr.,North Carolina State,9,G,11.11,3.04,3.22,30.1,36.1,8.78,6.39,8.46,9.1,74.76,76.12,99.43,195.28,79.4,197,14,7.3,acc,120.0,420,191,200,143,1114.0,26.0,67.0,580,62,153,55,146,108.0,267,136,dennis-smithjr-1,Exclude
2016,Denzel Valentine,Michigan State,14,G,10.51,3.22,3.46,27.0,32.0,8.78,9.2,8.5,9.75,76.0,77.75,102.0,210.4,82.75,241,7,16.5,big-ten,208.0,444,205,95,81,1022.0,25.0,52.0,595,32,234,104,233,85.0,210,101,denzel-valentine-1,Exclude
2000,DerMarr Johnson,Cincinnati,6,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,45,30,,cusa,,293,140,95,70,879.0,,64.0,402,31,140,52,123,46.0,153,88,dermarr-johnson-1,Role Player
2005,Deron Williams,Illinois,3,G,10.83,3.04,3.25,30.0,35.0,15.0,6.39,8.46,9.1,73.75,74.75,98.0,202.4,78.25,264,8,,big-ten,128.0,411,178,96,65,1315.0,14.0,80.0,489,38,187,68,142,109.0,224,110,deron-williams-1,All-Star
2009,Derrick Brown,Xavier,40,F,11.26,3.1,3.13,30.5,35.5,20.0,8.6,8.95,9.59,79.5,80.5,107.5,224.6,86.5,68,30,,atlantic-10,130.0,337,170,135,100,1033.0,82.0,87.0,479,25,90,39,212,61.0,247,131,derrick-brown-1,Role Player
2007,Derrick Byars,Vanderbilt,42,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,116,4,,sec,113.0,451,206,121,86,1068.0,52.0,81.0,577,48,212,79,165,80.0,239,127,derrick-byars-1,Exclude
2010,Derrick Caracter,Texas-El Paso,58,F,12.78,3.1,3.61,25.0,30.5,22.0,12.8,9.0,10.25,80.25,81.5,107.5,280.0,84.25,30,23,,cusa,146.0,261,148,119,80,720.0,72.0,82.0,380,26,15,4,218,77.0,246,144,derrick-caracter-1,Exclude
2010,Derrick Favors,Georgia Tech,3,F,11.74,3.1,3.25,31.5,35.5,14.0,6.5,8.75,9.25,80.75,82.25,110.0,245.2,88.0,37,74,,acc,195.0,293,179,143,90,989.0,108.0,94.0,448,32,1,0,303,90.0,292,179,derrick-favors-1,Starter
2008,Derrick Rose,Memphis,1,G,11.69,3.04,3.05,34.5,40.0,10.0,4.6,8.46,9.1,73.5,74.5,98.5,196.0,80.0,189,15,,cusa,127.0,436,208,205,146,1168.0,54.0,68.0,597,48,104,35,181,107.0,332,173,derrick-rose-1,All-Star
2017,Derrick White,Colorado,29,G,10.84,2.92,3.08,31.0,36.5,10.0,6.2,8.25,8.5,75.25,76.5,101.5,189.8,79.5,148,49,11.8,pac-12,104.0,404,205,182,148,1116.0,35.0,72.0,615,42,144,57,139,81.0,260,148,derrick-white-1,Exclude
