player_name,pro_id,cbb_id
Tadija Dragićević,dragita01,
Maarty Leunen,leunema01,maarty-leunen-1
Mike Taylor,taylomi01,mike-taylor-1
Sasha Kaun,kaunsa01,sasha-kaun-1
Joe Crawford,crawfjo01,joe-crawford-1
Semih Erden,erdense01,
Blake Griffin,griffbl01,blake-griffin-1
Hasheem Thabeet,thabeha01,hasheem-thabeet-1
James Harden,hardeja01,james-harden-1
Tyreke Evans,evansty01,tyreke-evans-1
Ricky Rubio,rubiori01,
Jonny Flynn,flynnjo01,jonny-flynn-1
Stephen Curry,curryst01,stephen-curry-1
Jordan Hill,hilljo01,jordan-hill-1
DeMar DeRozan,derozde01,demar-derozan-1
Brandon Jennings,jennibr01,
Terrence Williams,willite01,terrence-williams-1
Gerald Henderson,hendege02,gerald-henderson-2
Tyler Hansbrough,hansbty01,tyler-hansbrough-1
Earl Clark,clarkea01,earl-clark-1
Austin Daye,dayeau01,austin-daye-1
James Johnson,johnsja01,james-johnson-2
Jrue Holiday,holidjr01,jrue-holiday-1
Ty Lawson,lawsoty01,ty-lawson-1
Jeff Teague,teaguje01,jeff-teague-1
Eric Maynor,maynoer01,eric-maynor-1
Darren Collison,collida01,darren-collison-1
Victor Claver,clavevi01,
Omri Casspi,casspom01,
Byron Mullens,mulleby01,bj-mullens-1
Rodrigue Beaubois,beaubro01,
Taj Gibson,gibsota01,taj-gibson-1
DeMarre Carroll,carrode01,demarre-carroll-1
Wayne Ellington,ellinwa01,wayne-ellington-1
Toney Douglas,douglto01,toney-douglas-1
Christian Eyenga,eyengch01,
Jeff Ayres,pendeje02,jeff-pendergraph-1
Jermaine Taylor,tayloje02,jermaine-taylor-1
Dante Cunningham,cunnida01,dante-cunningham-1
Sergio Llull,llullse01,
DaJuan Summers,summeda01,dajuan-summers-1
Sam Young,youngsa01,sam-young-1
DeJuan Blair,blairde01,dejuan-blair-1
Jon Brockman,brockjo01,jon-brockman-1
Jonas Jerebko,jerebjo01,
Derrick Brown,brownde04,derrick-brown-1
Jodie Meeks,meeksjo01,jodie-meeks-1
Patrick Beverley,beverpa01,patrick-beverley-1
Marcus Thornton,thornma01,marcus-thornton-1
Chase Budinger,budinch01,chase-budinger-1
Nick Calathes,calatni01,nick-calathes-1
Danny Green,greenda02,danny-green-1
Henk Norel,norelhe01,
Taylor Griffin,griffta01,taylor-griffin-1
Sergiy Gladyr,gladyse01,
A.J. Price,priceaj01,aj-price-1
Nando De Colo,decolna01,
Patty Mills,millspa02,patrick-mills-1
Emir Preldžić,preldem01,
Lester Hudson,hudsole01,lester-hudson-1
Chinemelu Elonu,elonuch01,chinemelu-elonu-1
John Wall,walljo01,john-wall-1
Evan Turner,turneev01,evan-turner-1
Derrick Favors,favorde01,derrick-favors-1
Wesley Johnson,johnswe01,wes-johnson-1
DeMarcus Cousins,couside01,demarcus-cousins-1
Ekpe Udoh,udohek01,ekpe-udoh-1
Greg Monroe,monrogr01,greg-monroe-1
Al-Farouq Aminu,aminual01,al-farouq-aminu-1
Gordon Hayward,haywago01,gordon-hayward-1
Paul George,georgpa01,paul-george-1
Cole Aldrich,aldrico01,cole-aldrich-1
Xavier Henry,henryxa01,xavier-henry-1
Ed Davis,davised01,ed-davis-1
Patrick Patterson,pattepa01,patrick-patterson-1
Larry Sanders,sandela01,larry-sanders-1
Luke Babbitt,babbilu01,luke-babbitt-1
Kevin Séraphin,serapke01,
Eric Bledsoe,bledser01,eric-bledsoe-1
Avery Bradley,bradlav01,avery-bradley-1
James Anderson,anderja01,james-anderson-3
Craig Brackins,brackcr01,craig-brackins-1
Elliot Williams,williel01,elliot-williams-1
Trevor Booker,booketr01,trevor-booker-1
Damion James,jamesda01,damion-james-1
Dominique Jones,jonesdo02,dominique-jones-1
Quincy Pondexter,pondequ01,quincy-pondexter-1
Jordan Crawford,crawfjo02,jordan-crawford-1
Greivis Vásquez,vasqugr01,greivis-vasquez-1
Daniel Orton,ortonda01,daniel-orton-1
Lazar Hayward,haywala01,lazar-hayward-1
Tibor Pleiß,pleisti01,
Dexter Pittman,pittmde01,dexter-pittman-1
Hassan Whiteside,whiteha01,hassan-whiteside-1
Armon Johnson,johnsar02,armon-johnson-1
Nemanja Bjelica,bjeline01,
Darington Hobson,hobsoda01,darington-hobson-1
Andy Rautins,rautian01,andy-rautins-1
Landry Fields,fieldla01,landry-fields-1
Lance Stephenson,stephla01,lance-stephenson-1
Jarvis Varnado,varnaja01,jarvis-varnado-1
Devin Ebanks,ebankde01,devin-ebanks-1
Jerome Jordan,jordaje01,jerome-jordan-1
Paulo Prestes,prestpa01,
Gani Lawal,lawalga01,gani-lawal-1
Latavious Williams,willila01,
Ryan Richards,richary01,
Solomon Alabi,alabiso01,solomon-alabi-1
Luke Harangody,haranlu01,luke-harangody-1
Pape Sy,sypa01,
Willie Warren,warrewi01,willie-warren-1
Jeremy Evans,evansje01,jeremy-evans-1
Hamady N'Diaye,ndiayha01,hamady-ndiaye-1
Ryan Reid,reidry01,ryan-reid-1
Derrick Caracter,caracde01,derrick-caracter-1
Dwayne Collins,collidw01,dwayne-collins-1
Kyrie Irving,irvinky01,kyrie-irving-1
Derrick Williams,willide02,derrick-williams-2
Enes Kanter,kanteen01,
Tristan Thompson,thomptr01,tristan-thompson-2
Jonas Valančiūnas,valanjo01,
Jan Veselý,veselja01,
Bismack Biyombo,biyombi01,
Brandon Knight,knighbr03,brandon-knight-1
Kemba Walker,walkeke02,kemba-walker-1
Jimmer Fredette,fredeji01,jimmer-fredette-1
Klay Thompson,thompkl01,klay-thompson-1
Alec Burks,burksal01,alec-burks-1
Markieff Morris,morrima02,markieff-morris-1
Marcus Morris,morrima03,marcus-morris-1
Kawhi Leonard,leonaka01,kawhi-leonard-1
Nikola Vučević,vucevni01,nikola-vucevic-1
Iman Shumpert,shumpim01,iman-shumpert-1
Chris Singleton,singlch01,chris-singleton-1
Tobias Harris,harrito02,tobias-harris-1
Donatas Motiejūnas,motiedo01,
Nolan Smith,smithno01,nolan-smith-1
Kenneth Faried,farieke01,kenneth-faried-1
Nikola Mirotić,mirotni01,
Reggie Jackson,jacksre01,reggie-jackson-1
MarShon Brooks,brookma01,marshon-brooks-1
Jordan Hamilton,hamiljo02,jordan-hamilton-2
JaJuan Johnson,johnsja02,jajuan-johnson-1
Norris Cole,coleno01,norris-cole-1
Cory Joseph,josepco01,cory-joseph-1
Jimmy Butler,butleji01,jimmy-butler-1
Bojan Bogdanović,bogdabo02,
Justin Harper,harpeju01,justin-harper-1
Kyle Singler,singlky01,kyle-singler-1
Shelvin Mack,macksh01,shelvin-mack-1
