,assist_percentage,assists,box_plus_minus,block_percentage,blocks,conference,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goals,free_throw_attempt_rate,free_throw_attempt,free_throw_percentage,free_throws,minutes_played,name,offensive_rebound_percentage,offensive_rebounds,personal_fouls,player_id,points,steal_percentage,steals,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage
1164,24.0,149,,0.3,6,pac-10,,118.0,0.546,463,213,0.294,136,0.846,115,1289.0,Aaron Brooks,,31.0,88.0,aaron-brooks-1,621,,48,0.428,198,0.404,80,7.0,149,0.589,14.4,89.0,265,0.502,133,24.4
1165,,70,,,8,pac-10,,84.0,0.556,456,210,0.276,126,0.802,101,1186.0,Arron Afflalo,,15.0,66.0,arron-afflalo-1,608,,22,0.509,232,0.375,87,,99,0.589,11.0,64.0,224,0.549,123,
1166,16.1,73,,0.7,10,big-ten,,118.0,0.506,545,256,0.457,249,0.659,164,1181.0,Alando Tucker,,78.0,45.0,alando-tucker-1,716,,33,0.226,123,0.325,40,10.2,196,0.54,8.3,60.0,422,0.512,216,32.8
1167,9.9,42,,2.4,32,big-ten,,148.0,0.602,367,219,0.755,277,0.726,201,1035.0,Carl Landry,,101.0,99.0,carl-landry-1,643,,40,0.052,19,0.211,4,14.9,249,0.645,17.0,102.0,348,0.618,215,29.9
1168,,113,,,7,pac-10,,58.0,0.512,250,104,0.34,85,0.8,68,861.0,Gabe Pruitt,,15.0,56.0,gabe-pruitt-1,324,,47,0.548,137,0.35,48,,73,0.558,14.2,48.0,113,0.496,56,
1169,14.2,67,,1.5,23,pac-10,,137.0,0.523,397,196,0.297,118,0.695,82,987.0,Marcus Williams,,63.0,66.0,marcus-williams-2,497,,33,0.202,80,0.288,23,11.8,200,0.549,15.0,80.0,317,0.546,173,26.5
1170,13.3,56,,3.3,48,wac,,259.0,0.6,437,248,0.346,151,0.848,128,969.0,Nick Fazekas,,95.0,74.0,nick-fazekas-1,652,,24,0.149,65,0.431,28,21.1,354,0.641,11.2,64.0,372,0.591,220,29.9
1171,14.6,66,,2.0,28,sec,,190.0,0.507,368,178,0.53,195,0.713,139,1016.0,Glen Davis,,113.0,67.0,glen-davis-1,512,,32,0.133,49,0.347,17,17.2,303,0.556,15.1,82.0,319,0.505,161,27.6
1172,,44,,,70,sec,,184.0,0.413,366,149,0.413,151,0.775,117,968.0,Jermareo Davidson,,63.0,54.0,jermareo-davidson-1,419,,23,0.044,16,0.25,4,,247,0.479,10.3,50.0,350,0.414,145,
1173,20.6,114,,5.2,82,acc,,191.0,0.509,327,164,0.446,146,0.664,97,1164.0,Josh McRoberts,,69.0,83.0,josh-mcroberts-1,430,,39,0.07,23,0.217,5,13.7,260,0.542,16.8,80.0,304,0.523,159,21.1
