,assist_percentage,assists,box_plus_minus,block_percentage,blocks,conference,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goals,free_throw_attempt_rate,free_throw_attempt,free_throw_percentage,free_throws,minutes_played,name,offensive_rebound_percentage,offensive_rebounds,personal_fouls,player_id,points,steal_percentage,steals,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage
609,8.6,102,5.5,4.0,99,,16.6,403.0,0.519,808,418,0.692,559,0.717,401,2787.0,Cameron Bairstow,10.4,234.0,282.0,cameron-bairstow-1,1239,1.4,62,0.007,6,0.333,2,13.6,637,0.577,12.8,157.0,802,0.519,416,23.3
610,7.0,111,2.8,9.1,309,,17.3,513.0,0.495,1299,604,0.403,524,0.748,392,3693.0,Alec Brown,9.3,287.0,336.0,alec-brown-1,1678,1.2,74,0.15,195,0.4,78,13.2,800,0.542,14.5,263.0,1104,0.476,526,25.5
611,28.5,281,3.7,0.6,11,,8.7,157.0,0.479,785,363,0.536,421,0.67,282,2227.0,Semaj Christon,1.1,20.0,152.0,semaj-christon-1,1034,2.5,90,0.098,77,0.338,26,5.0,177,0.525,16.7,198.0,708,0.476,337,28.2
612,21.9,397,5.8,1.0,33,,10.8,342.0,0.464,1359,564,0.438,595,0.726,432,3749.0,Roy Devyn Marble,3.6,118.0,212.0,roy-devyn-marble-1,1694,2.8,176,0.291,396,0.338,134,7.1,460,0.516,12.4,232.0,963,0.447,430,24.8
613,15.7,209,5.9,3.3,97,,11.7,296.0,0.492,1190,496,0.382,455,0.769,350,3088.0,Jordan McRae,2.9,75.0,218.0,jordan-mcrae-1,1521,1.5,73,0.439,522,0.343,179,7.2,371,0.541,13.8,225.0,668,0.475,317,27.8
614,20.2,354,5.4,0.7,22,,9.0,267.0,0.452,1080,427,0.452,488,0.814,397,3581.0,Xavier Thames,2.1,63.0,241.0,xavier-thames-1,1374,2.5,144,0.327,353,0.348,123,5.5,330,0.524,13.9,211.0,727,0.418,304,22.0
615,4.2,51,6.5,6.6,166,,21.3,479.0,0.554,794,431,0.534,424,0.66,280,2589.0,Cory Jefferson,11.1,243.0,226.0,cory-jefferson-1,1159,1.0,42,0.063,50,0.34,17,16.3,722,0.582,9.2,101.0,744,0.556,414,21.4
616,11.6,44,17.3,11.5,88,,22.3,169.0,0.57,256,145,0.523,134,0.813,109,822.0,Karl-Anthony Towns,14.2,92.0,115.0,karl-anthony-towns-1,401,1.4,18,0.031,8,0.25,2,18.5,261,0.627,14.2,53.0,248,0.577,143,23.7
617,30.1,175,11.7,1.1,11,,15.4,163.0,0.541,515,231,0.303,156,0.756,118,1188.0,D'Angelo Russell,3.6,35.0,74.0,dangelo-russell-1,675,2.8,55,0.449,231,0.411,95,9.8,198,0.573,14.8,102.0,284,0.479,136,30.2
618,9.4,49,10.9,4.5,54,,18.2,188.0,0.664,420,279,0.462,194,0.51,99,1143.0,Jahlil Okafor,14.8,134.0,81.0,jahlil-okafor-1,657,1.5,29,0.0,0,,0,16.6,322,0.641,15.6,95.0,420,0.664,279,27.6
619,7.0,90,13.0,9.2,233,,17.3,405.0,0.593,583,346,0.509,297,0.508,151,2575.0,Willie Cauley-Stein,11.9,250.0,246.0,willie-cauley-stein-1,843,2.7,115,0.0,0,,0,14.7,655,0.582,14.9,127.0,583,0.593,346,16.9
620,11.6,63,10.2,1.6,15,,19.1,172.0,0.501,390,174,0.456,178,0.742,132,1081.0,Stanley Johnson,8.9,75.0,100.0,stanley-johnson-1,523,3.2,57,0.297,116,0.371,43,14.1,247,0.551,14.7,82.0,274,0.478,131,26.6
621,14.9,188,13.2,5.2,153,,20.7,484.0,0.573,1013,529,0.384,389,0.763,297,2943.0,Frank Kaminsky,7.9,182.0,235.0,frank-kaminsky-1,1458,1.7,77,0.275,279,0.369,103,14.4,666,0.609,9.2,121.0,734,0.58,426,25.5
622,13.2,82,10.4,2.9,34,,19.8,203.0,0.551,356,173,0.438,156,0.641,100,1135.0,Justise Winslow,5.4,49.0,108.0,justise-winslow-1,492,2.8,52,0.309,110,0.418,46,13.1,252,0.572,14.2,71.0,246,0.516,127,22.9
623,6.2,20,8.7,12.3,89,,24.9,178.0,0.488,257,117,0.436,112,0.839,94,755.0,Myles Turner,7.2,44.0,82.0,myles-turner-1,345,0.8,10,0.241,62,0.274,17,16.7,222,0.556,13.2,47.0,195,0.513,100,25.1
624,9.2,38,8.9,2.1,16,,16.1,123.0,0.496,240,117,0.425,102,0.735,75,828.0,Trey Lyles,9.9,65.0,57.0,trey-lyles-1,313,1.4,19,0.121,29,0.138,4,13.3,188,0.543,12.4,41.0,211,0.536,113,20.8
625,10.9,42,8.9,0.3,2,,7.8,59.0,0.571,287,135,0.223,64,0.828,53,816.0,Devin Booker,2.6,17.0,58.0,devin-booker-2,381,1.3,17,0.491,141,0.411,58,5.4,76,0.6,10.4,37.0,146,0.527,77,22.8
626,37.1,394,5.5,1.7,37,,10.9,221.0,0.509,1007,435,0.322,324,0.781,253,2238.0,Cameron Payne,1.7,31.0,168.0,cameron-payne-1,1279,3.3,125,0.431,434,0.359,156,6.5,252,0.551,14.5,197.0,573,0.487,279,30.5
627,8.1,28,8.6,1.8,13,,19.2,138.0,0.512,248,110,0.444,110,0.718,79,756.0,Kelly Oubre,6.4,41.0,71.0,kelly-oubre-1,333,3.3,41,0.383,95,0.358,34,13.2,179,0.555,12.5,43.0,153,0.497,76,23.1
628,18.6,175,8.0,0.4,8,,13.9,243.0,0.463,753,307,0.303,228,0.772,176,1959.0,Terry Rozier,4.0,71.0,116.0,terry-rozier-1,874,3.4,110,0.337,254,0.331,84,8.9,314,0.507,10.5,101.0,499,0.447,223,24.7
629,11.8,36,1.3,1.1,8,,13.7,97.0,0.521,328,144,0.299,98,0.694,68,742.0,Rashad Vaughn,2.3,14.0,54.0,rashad-vaughn-1,410,1.5,18,0.43,141,0.383,54,8.4,111,0.547,11.8,50.0,187,0.481,90,30.8
630,10.5,148,9.3,1.7,54,,15.1,384.0,0.563,1012,499,0.317,321,0.695,223,3153.0,Sam Dekker,7.5,185.0,137.0,sam-dekker-1,1363,1.5,73,0.403,408,0.348,142,11.4,569,0.585,8.9,114.0,604,0.591,357,22.9
631,31.9,690,6.8,0.9,37,,8.4,296.0,0.506,1276,556,0.444,567,0.79,448,4337.0,Jerian Grant,1.4,47.0,219.0,jerian-grant-1,1739,2.6,175,0.407,519,0.345,179,5.0,343,0.563,14.7,266.0,757,0.498,377,23.1
632,30.8,352,14.6,3.5,77,,15.4,321.0,0.565,634,339,0.593,376,0.814,306,2367.0,Delon Wright,4.3,76.0,110.0,delon-wright-1,1022,4.0,155,0.2,127,0.299,38,10.3,397,0.629,15.8,152.0,507,0.594,301,22.1
633,16.5,180,8.9,4.3,84,,13.9,266.0,0.503,669,288,0.398,266,0.752,200,2364.0,Justin Anderson,4.2,75.0,137.0,justin-anderson-1,873,1.7,60,0.407,272,0.357,97,9.2,341,0.549,13.6,125.0,397,0.481,191,22.3
634,9.8,92,8.7,5.3,104,,18.6,332.0,0.54,782,411,0.35,274,0.737,202,1994.0,Bobby Portis,12.0,219.0,137.0,bobby-portis-1,1047,2.1,74,0.081,63,0.365,23,15.3,551,0.574,9.6,97.0,719,0.54,388,24.2
635,10.5,114,10.7,3.8,72,,18.0,315.0,0.504,522,259,0.682,356,0.697,248,2050.0,Rondae Hollis-Jefferson,9.7,160.0,186.0,rondae-hollis-jefferson-1,774,2.1,72,0.075,39,0.205,8,14.0,475,0.56,13.0,103.0,483,0.52,251,20.2
636,27.5,217,9.4,0.2,3,,9.9,118.0,0.489,324,135,0.5,162,0.889,144,1322.0,Tyus Jones,1.8,19.0,46.0,tyus-jones-1,461,2.7,59,0.383,124,0.379,47,6.1,137,0.575,15.9,76.0,200,0.44,88,18.7
637,8.9,88,4.5,2.1,45,,15.3,297.0,0.525,654,323,0.448,293,0.689,202,1996.0,Jarell Martin,8.6,154.0,170.0,jarell-martin-1,889,1.9,65,0.203,133,0.308,41,12.1,451,0.56,15.4,144.0,521,0.541,282,22.8
638,12.7,172,6.4,4.5,135,,22.5,622.0,0.54,978,510,0.438,428,0.771,330,3631.0,Larry Nance,7.1,185.0,284.0,larry-nance-2,1386,2.6,141,0.12,117,0.308,36,15.1,807,0.587,14.0,193.0,861,0.551,474,22.8
639,15.0,240,6.3,3.4,92,,14.4,406.0,0.519,1321,559,0.397,525,0.853,448,3438.0,R.J. Hunter,2.5,68.0,214.0,rj-hunter-1,1819,3.4,191,0.541,715,0.354,253,8.6,474,0.579,9.7,168.0,606,0.505,306,27.5
640,8.2,18,6.8,8.5,33,,18.5,74.0,0.482,113,54,0.628,71,0.563,40,450.0,Chris McCullough,9.0,36.0,41.0,chris-mccullough-1,149,3.6,27,0.009,1,1.0,1,13.8,110,0.508,19.3,35.0,112,0.473,53,20.7
641,9.1,51,8.2,3.3,32,,21.0,209.0,0.505,321,151,0.458,147,0.626,92,1113.0,Kevon Looney,12.2,122.0,104.0,kevon-looney-1,416,2.5,46,0.165,53,0.415,22,16.6,331,0.532,10.3,45.0,268,0.481,129,19.7
642,7.4,102,8.8,4.4,118,,18.5,483.0,0.592,910,533,0.447,407,0.533,217,2961.0,Montrezl Harrell,11.1,294.0,214.0,montrezl-harrell-1,1294,1.8,91,0.044,40,0.275,11,14.8,777,0.586,11.6,145.0,870,0.6,522,21.0
643,7.0,76,5.6,9.4,218,,18.8,399.0,0.519,701,363,0.397,278,0.669,186,2197.0,Jordan Mickey,8.9,176.0,155.0,jordan-mickey-1,913,1.3,50,0.02,14,0.071,1,14.0,575,0.548,17.7,179.0,687,0.527,362,22.4
644,11.4,231,5.0,0.6,23,,15.8,552.0,0.518,1211,518,0.339,410,0.751,308,4200.0,Anthony Brown,3.9,139.0,257.0,anthony-brown-5,1562,1.4,99,0.447,541,0.403,218,9.8,691,0.556,14.0,228.0,670,0.448,300,20.1
645,6.0,86,8.8,9.8,247,,17.6,466.0,0.56,731,409,0.458,335,0.681,228,3126.0,Rakeem Christmas,10.2,280.0,375.0,rakeem-christmas-1,1046,1.5,77,0.001,1,0.0,0,13.8,746,0.588,15.4,162.0,730,0.56,409,17.4
646,5.9,62,7.1,11.0,244,,18.9,402.0,0.574,728,403,0.499,363,0.697,253,2518.0,Richaun Holmes,11.5,250.0,233.0,richaun-holmes-1,1089,1.8,75,0.117,85,0.353,30,15.2,652,0.605,13.7,143.0,643,0.58,373,21.8
647,15.4,248,7.3,1.5,47,,11.1,329.0,0.529,1125,491,0.38,428,0.748,320,3537.0,Darrun Hilliard,2.4,71.0,274.0,darrun-hilliard-1,1511,3.0,176,0.506,569,0.367,209,6.7,400,0.569,13.4,206.0,556,0.507,282,22.4
648,14.4,246,6.0,2.5,88,,10.7,323.0,0.504,1005,458,0.312,314,0.758,238,3842.0,Josh Richardson,3.6,116.0,301.0,josh-richardson-2,1252,2.5,147,0.306,308,0.318,98,7.0,439,0.542,15.3,209.0,697,0.516,360,19.0
649,11.1,257,7.1,1.6,71,,18.6,686.0,0.567,1145,515,0.188,215,0.777,167,4484.0,Pat Connaughton,3.9,137.0,232.0,pat-connaughton-1,1465,1.3,93,0.607,695,0.386,268,11.4,823,0.587,9.8,135.0,450,0.549,247,16.9
650,21.8,303,4.3,0.2,5,,11.7,320.0,0.524,1247,565,0.434,541,0.778,421,3493.0,Olivier Hanlan,2.3,62.0,216.0,olivier-hanlan-1,1727,1.9,104,0.391,487,0.361,176,7.1,382,0.574,13.6,236.0,760,0.512,389,27.9
651,16.5,351,4.6,0.2,8,,10.3,391.0,0.537,1718,778,0.302,519,0.886,460,4333.0,Joe Young,2.4,85.0,194.0,joseph-young-1,2304,1.7,130,0.43,739,0.39,288,6.4,476,0.586,10.1,221.0,979,0.501,490,25.3
652,24.8,298,5.9,0.8,17,,8.1,168.0,0.43,597,222,0.615,367,0.777,285,2261.0,Andrew Harrison,2.4,45.0,189.0,andrew-harrison-1,798,1.7,61,0.315,188,0.367,69,5.4,213,0.517,18.3,173.0,409,0.374,153,21.3
653,16.5,308,-2.5,0.8,31,,8.1,285.0,0.529,1649,709,0.334,551,0.789,435,4328.0,Marcus Thornton,1.2,39.0,190.0,marcus-thornton-3,2178,1.3,92,0.491,809,0.402,325,4.7,324,0.57,14.5,324.0,840,0.457,384,28.7
654,11.5,214,4.9,1.7,57,,11.9,366.0,0.512,1090,503,0.318,347,0.746,259,3555.0,Norman Powell,1.9,58.0,288.0,norman-powell-1,1376,2.6,158,0.325,354,0.314,111,6.9,424,0.548,12.5,180.0,736,0.533,392,20.3
655,6.7,40,8.1,5.2,59,,17.2,187.0,0.537,300,161,0.763,229,0.559,128,1185.0,Dakari Johnson,15.0,146.0,148.0,dakari-johnson-1,450,1.2,23,0.0,0,,0,16.2,333,0.55,14.1,67.0,300,0.537,161,20.6
656,10.1,190,9.0,2.4,85,,18.0,613.0,0.543,1142,590,0.701,800,0.773,618,3939.0,Aaron White,8.4,289.0,219.0,aaron-white-3,1859,2.3,149,0.19,217,0.281,61,13.2,902,0.611,12.2,211.0,925,0.572,529,22.1
657,15.9,197,2.6,0.6,16,,10.5,244.0,0.585,1066,494,0.35,373,0.847,316,2635.0,Tyler Harvey,2.2,49.0,162.0,tyler-harvey-1,1564,1.9,86,0.565,602,0.432,260,6.4,293,0.629,10.8,151.0,464,0.504,234,26.7
658,16.1,299,6.6,5.0,173,,16.1,520.0,0.489,852,406,0.423,360,0.681,245,3660.0,Sir'Dominic Pointer,4.8,161.0,367.0,sirdominic-pointer-1,1078,3.2,200,0.128,109,0.193,21,10.4,681,0.527,17.6,218.0,743,0.518,385,17.3
659,1.9,26,2.4,6.8,197,,21.5,540.0,0.559,767,424,0.488,374,0.666,249,2799.0,Cady Lalanne,13.7,341.0,275.0,cady-lalanne-1,1107,1.0,49,0.061,47,0.213,10,17.6,881,0.586,17.9,206.0,720,0.575,414,19.9
