year,player,affiliation,overall_pick,position,lane_agility,shuttle_run,sprint,standing_leap,max_leap,bench_press,body_fat,hand_length,hand_width,height_no_shoes,height_shoes,reach,weight,wingspan,assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_rebound_percentage,defensive_rebounds,effective_field_goal_percentage,field_goal_attempts,field_goals,free_throw_attempt_rate,free_throw_attempt,free_throw_percentage,free_throws,minutes_played,offensive_rebound_percentage,offensive_rebounds,personal_fouls,points,steal_percentage,steals,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,player_id,classification
2011,Alec Burks,Colorado,12,G,10.96,3.04,3.17,29.0,36.0,5.0,5.1,9.0,8.25,77.0,78.0,103.5,192.6,82.0,17.0,165,1.2,24,7.2,,13.7,248.0,0.522,855,423,0.579,495,0.804,398,2100.0,8.8,149.0,163.0,1291,2.1,76,0.175,150,0.313,47,11.3,397,0.5920000000000001,12.6,157.0,705,0.5329999999999999,376,30.0,alec-burks-1,Role Player
2011,Alec Burks,Colorado,12,G,10.96,3.04,3.17,29.0,36.0,5.0,5.1,9.0,8.25,77.0,78.0,103.5,192.6,82.0,19.6,112,1.0,12,7.2,big-12,14.8,156.0,0.495,535,251,0.564,302,0.825,249,1193.0,9.2,91.0,89.0,779,2.0,41,0.179,96,0.292,28,12.1,247,0.574,12.7,99.0,439,0.508,223,32.3,alec-burks-1,Role Player
2017,Alec Peters,Valparaiso,54,F,11.46,3.1,3.3,29.41,34.23,11.36,8.8,8.75,10.0,79.25,80.75,105.0,232.0,82.75,11.0,204,1.0,38,5.9,,18.7,732.0,0.5760000000000001,1623,790,0.349,566,0.846,479,4250.0,7.4,264.0,283.0,2348,1.4,102,0.428,694,0.41600000000000004,289,13.3,996,0.621,11.6,248.0,929,0.539,501,25.6,alec-peters-1,Exclude
2017,Alec Peters,Valparaiso,54,F,11.46,3.1,3.3,29.41,34.23,11.36,8.8,8.75,10.0,79.25,80.75,105.0,232.0,82.75,14.8,64,1.2,11,6.4,horizon,23.3,219.0,0.528,468,218,0.415,194,0.887,172,1019.0,8.5,74.0,64.0,666,1.3,23,0.342,160,0.363,58,16.2,293,0.594,11.2,71.0,308,0.519,160,30.8,alec-peters-1,Exclude
2005,Alex Acker,Pepperdine,60,G,11.67,3.04,3.35,28.0,32.0,11.0,6.39,8.46,9.1,75.75,76.75,102.5,183.0,84.0,19.9,249,0.9,38,,,,359.0,0.518,983,449,0.315,310,0.823,255,3023.0,,136.0,167.0,1273,,133,0.297,292,0.41100000000000003,120,9.5,495,0.563,16.9,230.0,691,0.47600000000000003,329,22.2,alex-acker-1,Exclude
2005,Alex Acker,Pepperdine,60,G,11.67,3.04,3.35,28.0,32.0,11.0,6.39,8.46,9.1,75.75,76.75,102.5,183.0,84.0,19.9,114,0.9,15,,wcc,,157.0,0.522,407,183,0.26,106,0.858,91,1152.0,,44.0,58.0,516,,40,0.337,137,0.431,59,9.5,201,0.564,15.2,82.0,270,0.45899999999999996,124,22.2,alex-acker-1,Exclude
2013,Alex Len,Maryland,5,C,11.96,3.1,3.42,27.58,31.48,10.79,6.4,9.0,10.75,82.59,83.73,110.57,247.02,87.5,7.2,50,8.6,125,6.6,,21.2,272.0,0.539,418,225,0.47600000000000003,199,0.6629999999999999,132,1470.0,11.8,145.0,155.0,583,0.5,12,0.022000000000000002,9,0.111,1,16.5,417,0.569,15.4,93.0,409,0.5479999999999999,224,20.7,alex-len-1,Role Player
2013,Alex Len,Maryland,5,C,11.96,3.1,3.42,27.58,31.48,10.79,6.4,9.0,10.75,82.59,83.73,110.57,247.02,87.5,7.8,37,8.0,78,8.0,acc,21.0,189.0,0.535,324,173,0.47200000000000003,153,0.6859999999999999,105,1004.0,13.2,109.0,101.0,452,0.5,8,0.025,8,0.125,1,17.2,298,0.57,13.1,60.0,316,0.544,172,22.8,alex-len-1,Role Player
2006,Alexander Johnson,Florida State,45,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,6.3,64,2.7,66,,,,323.0,0.53,589,306,0.703,414,0.667,276,1935.0,,159.0,268.0,900,,81,0.066,39,0.308,12,16.7,482,0.573,23.3,238.0,550,0.535,294,26.8,alexander-johnson-1,Exclude
2006,Alexander Johnson,Florida State,45,F,11.46,3.1,3.3,29.41,34.23,11.36,7.79,8.95,9.59,79.56,80.81,106.2,228.53,84.53,6.0,21,3.0,30,,acc,,142.0,0.56,235,127,0.723,170,0.706,120,723.0,,74.0,93.0,383,,31,0.12300000000000001,29,0.31,9,18.4,216,0.606,20.6,82.0,206,0.573,118,26.8,alexander-johnson-1,Exclude
2018,Alize Johnson,Missouri State,50,F,11.83,3.28,3.38,25.0,31.0,8.0,8.1,8.5,9.75,79.25,80.0,103.0,216.6,80.75,16.6,157,1.1,20,5.0,,29.9,521.0,0.511,746,341,0.41,306,0.716,219,2025.0,12.2,214.0,152.0,982,1.0,35,0.33399999999999996,249,0.325,81,21.1,735,0.551,14.4,150.0,497,0.523,260,26.4,alize-johnson-1,Exclude
2018,Alize Johnson,Missouri State,50,F,11.83,3.28,3.38,25.0,31.0,8.0,8.1,8.5,9.75,79.25,80.0,103.0,216.6,80.75,19.3,94,1.5,14,5.4,mvc,30.4,280.0,0.48100000000000004,400,172,0.363,145,0.759,110,1028.0,11.4,104.0,69.0,495,0.9,15,0.365,146,0.281,41,21.0,384,0.528,13.6,74.0,254,0.516,131,27.1,alize-johnson-1,Exclude
2013,Allen Crabbe,California,31,G,10.67,3.1,3.32,30.5,36.0,10.0,4.65,8.25,8.5,77.25,78.25,103.5,197.4,83.25,13.6,219,1.7,57,7.4,,16.6,474.0,0.5329999999999999,1195,533,0.268,320,0.8190000000000001,262,3402.0,3.1,85.0,165.0,1537,1.5,84,0.45799999999999996,547,0.382,209,10.0,559,0.5710000000000001,11.9,182.0,648,0.5,324,23.3,allen-crabbe-1,Role Player
2013,Allen Crabbe,California,31,G,10.67,3.1,3.32,30.5,36.0,10.0,4.65,8.25,8.5,77.25,78.25,103.5,197.4,83.25,16.2,87,1.9,23,8.3,pac-12,16.0,167.0,0.528,468,215,0.297,139,0.813,113,1195.0,3.3,33.0,69.0,607,1.9,37,0.39299999999999996,184,0.348,64,9.8,200,0.568,13.5,83.0,284,0.532,151,26.6,allen-crabbe-1,Role Player
2001,Alton Ford,Houston,50,F,11.7,3.1,3.16,34.5,36.5,21.0,8.0,8.95,9.59,80.25,80.81,102.5,271.0,82.5,,17,,19,,,,112.0,0.452,220,95,0.605,133,0.609,81,663.0,,42.0,97.0,280,,5,0.155,34,0.265,9,,154,0.494,18.9,66.0,186,0.462,86,,alton-ford-1,Exclude
2001,Alton Ford,Houston,50,F,11.7,3.1,3.16,34.5,36.5,21.0,8.0,8.95,9.59,80.25,80.81,102.5,271.0,82.5,,17,,19,,cusa,,112.0,0.452,220,95,0.605,133,0.609,81,663.0,,42.0,97.0,280,,5,0.155,34,0.265,9,,154,0.494,18.9,66.0,186,0.462,86,,alton-ford-1,Exclude
2001,Alvin Jones,Georgia Tech,56,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,,170,,425,,,,239.0,0.489,921,450,0.78,718,0.574,412,2871.0,,73.0,273.0,1312,,88,0.004,4,0.0,0,,1075,0.52,20.4,269.0,917,0.491,450,,alvin-jones-1,Exclude
2001,Alvin Jones,Georgia Tech,56,C,11.96,3.1,3.42,27.58,31.48,10.79,8.73,9.12,9.86,82.59,83.73,110.57,247.02,87.72,,46,,101,,acc,,239.0,0.48200000000000004,278,134,0.802,223,0.596,133,875.0,,73.0,96.0,401,,28,0.006999999999999999,2,0.0,0,,312,0.522,19.0,90.0,276,0.486,134,,alvin-jones-1,Exclude
2012,Andre Drummond,Connecticut,9,C,10.83,3.1,3.39,31.5,33.5,10.0,7.5,9.5,9.5,81.75,83.75,109.5,278.6,90.25,3.4,15,9.9,92,6.0,,17.0,143.0,0.5379999999999999,292,157,0.301,88,0.295,26,967.0,14.2,114.0,75.0,340,1.8,28,0.006999999999999999,2,0.0,0,15.6,257,0.509,13.5,52.0,290,0.541,157,20.9,andre-drummond-1,Starter
2012,Andre Drummond,Connecticut,9,C,10.83,3.1,3.39,31.5,33.5,10.0,7.5,9.5,9.5,81.75,83.75,109.5,278.6,90.25,3.4,15,9.9,92,6.0,big-east,17.0,143.0,0.5379999999999999,292,157,0.301,88,0.295,26,967.0,14.2,114.0,75.0,340,1.8,28,0.006999999999999999,2,0.0,0,15.6,257,0.509,13.5,52.0,290,0.541,157,20.9,andre-drummond-1,Starter
2004,Andre Emmett,Texas Tech,35,G,11.11,3.04,3.22,30.1,36.1,8.78,6.7,8.46,9.1,75.5,76.5,100.0,216.0,81.0,10.5,201,0.6,43,,,,499.0,0.515,1765,882,0.353,623,0.703,438,4140.0,,266.0,172.0,2256,,164,0.098,173,0.312,54,10.3,765,0.547,10.4,240.0,1592,0.52,828,26.5,andre-emmett-1,Exclude
2004,Andre Emmett,Texas Tech,35,G,11.11,3.04,3.22,30.1,36.1,8.78,6.7,8.46,9.1,75.5,76.5,100.0,216.0,81.0,10.5,62,0.6,10,,big-12,,156.0,0.5429999999999999,494,260,0.457,226,0.73,165,1259.0,,69.0,49.0,701,,44,0.091,45,0.35600000000000004,16,10.3,225,0.583,10.4,70.0,449,0.5429999999999999,244,26.5,andre-emmett-1,Exclude
2004,Andre Iguodala,Arizona,9,G,11.17,3.04,3.18,30.5,34.5,4.0,6.7,8.46,9.1,77.75,78.75,105.5,217.0,83.0,21.1,213,1.1,29,,,,275.0,0.45799999999999996,483,205,0.42700000000000005,206,0.738,152,1576.0,,134.0,136.0,594,,95,0.242,117,0.27399999999999997,32,13.7,409,0.511,18.5,132.0,366,0.473,173,20.1,andre-iguodala-1,Starter
2004,Andre Iguodala,Arizona,9,G,11.17,3.04,3.18,30.5,34.5,4.0,6.7,8.46,9.1,77.75,78.75,105.5,217.0,83.0,23.7,147,0.7,11,,pac-10,,181.0,0.488,302,136,0.391,118,0.7879999999999999,93,962.0,,72.0,75.0,388,,48,0.242,73,0.315,23,14.1,253,0.542,18.8,83.0,229,0.493,113,20.4,andre-iguodala-1,Starter
2013,Andre Roberson,Colorado,26,F,11.36,3.02,3.34,30.0,36.5,10.0,7.05,8.75,9.5,78.25,79.0,104.5,205.8,83.0,8.4,119,5.4,150,9.5,,29.2,736.0,0.5489999999999999,741,382,0.45899999999999996,340,0.5820000000000001,198,2970.0,12.6,309.0,274.0,1012,3.3,164,0.193,143,0.35,50,21.0,1045,0.561,16.9,183.0,598,0.555,332,19.0,andre-roberson-1,Starter
2013,Andre Roberson,Colorado,26,F,11.36,3.02,3.34,30.0,36.5,10.0,7.05,8.75,9.5,78.25,79.0,104.5,205.8,83.0,9.4,44,4.4,41,9.8,pac-12,29.4,255.0,0.515,275,132,0.35600000000000004,98,0.551,54,1036.0,10.6,92.0,77.0,337,3.9,67,0.21100000000000002,58,0.32799999999999996,19,20.0,347,0.524,18.7,74.0,217,0.521,113,19.9,andre-roberson-1,Starter
